Product Name,Category,Al-Sater Price (BHD),Al-Hali Supermarket Price (BHD),Lulu Hypermarket Price (BHD)
Chili Twist克斯,Snacks & Savory,0.766,0.773,0.735
Butter Twist克斯,Snacks & Savory,0.209,0.200,0.206
Sour Cream & Onion Pringles,Snacks & Savory,0.596,0.567,0.594
Cheese Cheetos,Snacks & Savory,0.227,0.219,0.211
Beetroot Cheetos,Snacks & Savory,0.304,0.304,0.278
Salt & Vinegar Delights,Snacks & Savory,0.788,0.778,0.777
Hot & Fire Twist克斯,Snacks & Savory,0.415,0.395,0.413
Butter Oman Chips,Snacks & Savory,0.313,0.300,0.303
Sour Cream & Onion Twist克斯,Snacks & Savory,0.124,0.127,0.115
Chili Safari Chips,Snacks & Savory,0.318,0.315,0.304
Cheese Cheetos,Snacks & Savory,0.643,0.659,0.636
Salt & Vinegar Safari Chips,Snacks & Savory,0.465,0.478,0.458
Hot & Fire Oman Chips,Snacks & Savory,0.511,0.525,0.491
Salted Fresco,Snacks & Savory,0.111,0.109,0.104
Sour Cream & Onion Safari Chips,Snacks & Savory,0.110,0.106,0.107
Salted Delights,Snacks & Savory,0.524,0.537,0.506
Beetroot Twist克斯,Snacks & Savory,0.536,0.523,0.486
Sour Cream & Onion Twist克斯,Snacks & Savory,0.566,0.564,0.525
Salted Delights,Snacks & Savory,0.368,0.378,0.362
Butter Doritos,Snacks & Savory,0.265,0.257,0.240
Butter Unicorn,Snacks & Savory,0.408,0.394,0.404
Chili Lays,Snacks & Savory,0.494,0.497,0.451
Chili Twist克斯,Snacks & Savory,0.760,0.758,0.737
Butter Oman Chips,Snacks & Savory,0.666,0.666,0.657
Butter Pringles,Snacks & Savory,0.185,0.181,0.183
Beetroot Lays,Snacks & Savory,0.553,0.525,0.517
Salt & Vinegar Delights,Snacks & Savory,0.215,0.213,0.204
Ketchup Lays,Snacks & Savory,0.289,0.280,0.265
Beetroot Safari Chips,Snacks & Savory,0.383,0.366,0.354
Cheese Twist克斯,Snacks & Savory,0.599,0.576,0.599
Salted Al Baker,Snacks & Savory,0.784,0.771,0.708
Salted Lays,Snacks & Savory,0.268,0.258,0.254
Salt & Vinegar Cheetos,Snacks & Savory,0.570,0.576,0.527
Sour Cream & Onion Cheetos,Snacks & Savory,0.429,0.441,0.403
Beetroot Lays,Snacks & Savory,0.325,0.314,0.294
Chili Pringles,Snacks & Savory,0.112,0.111,0.103
Chili Twist克斯,Snacks & Savory,0.758,0.744,0.721
Salted Safari Chips,Snacks & Savory,0.573,0.578,0.528
Ketchup Unicorn,Snacks & Savory,0.260,0.251,0.260
Salted Pringles,Snacks & Savory,0.269,0.258,0.266
Salt & Vinegar Doritos,Snacks & Savory,0.337,0.330,0.328
Chili Delights,Snacks & Savory,0.721,0.730,0.695
Salted Al Baker,Snacks & Savory,0.213,0.218,0.205
Beetroot Delights,Snacks & Savory,0.564,0.536,0.517
Cheese Oman Chips,Snacks & Savory,0.584,0.585,0.539
Chili Lays,Snacks & Savory,0.266,0.260,0.259
Salt & Vinegar Safari Chips,Snacks & Savory,0.605,0.590,0.577
Ketchup Al Baker,Snacks & Savory,0.545,0.529,0.523
Ketchup Cheetos,Snacks & Savory,0.724,0.724,0.709
Salted Lays,Snacks & Savory,0.237,0.239,0.220
Salted Delights,Snacks & Savory,0.131,0.135,0.124
Pizza Doritos,Snacks & Savory,0.359,0.341,0.356
Hot & Fire Lays,Snacks & Savory,0.501,0.515,0.455
Salt & Vinegar Doritos,Snacks & Savory,0.288,0.285,0.270
Pizza Unicorn,Snacks & Savory,0.587,0.584,0.534
Salt & Vinegar Cheetos,Snacks & Savory,0.198,0.196,0.196
Sour Cream & Onion Lays,Snacks & Savory,0.588,0.592,0.550
Salt & Vinegar Unicorn,Snacks & Savory,0.394,0.382,0.379
Salt & Vinegar Unicorn,Snacks & Savory,0.451,0.457,0.435
Salt & Vinegar Delights,Snacks & Savory,0.119,0.119,0.112
Ketchup Cheetos,Snacks & Savory,0.426,0.423,0.396
Butter Unicorn,Snacks & Savory,0.121,0.115,0.119
Hot & Fire Cheetos,Snacks & Savory,0.466,0.471,0.429
Salt & Vinegar Doritos,Snacks & Savory,0.160,0.153,0.153
Salt & Vinegar Delights,Snacks & Savory,0.197,0.189,0.196
Ketchup Unicorn,Snacks & Savory,0.657,0.638,0.620
Butter Twist克斯,Snacks & Savory,0.118,0.121,0.116
Hot & Fire Fresco,Snacks & Savory,0.141,0.144,0.133
Beetroot Cheetos,Snacks & Savory,0.562,0.546,0.559
Hot & Fire Twist克斯,Snacks & Savory,0.528,0.519,0.488
Hot & Fire Delights,Snacks & Savory,0.184,0.180,0.167
Chili Lays,Snacks & Savory,0.223,0.212,0.218
Salt & Vinegar Doritos,Snacks & Savory,0.342,0.338,0.330
Butter Unicorn,Snacks & Savory,0.764,0.780,0.708
Butter Unicorn,Snacks & Savory,0.753,0.746,0.718
Sour Cream & Onion Pringles,Snacks & Savory,0.761,0.780,0.751
Chili Al Baker,Snacks & Savory,0.503,0.493,0.485
Ketchup Lays,Snacks & Savory,0.674,0.674,0.662
Butter Safari Chips,Snacks & Savory,0.245,0.238,0.226
Ketchup Oman Chips,Snacks & Savory,0.533,0.521,0.515
Butter Unicorn,Snacks & Savory,0.116,0.118,0.108
Butter Pringles,Snacks & Savory,0.588,0.588,0.581
Beetroot Pringles,Snacks & Savory,0.662,0.644,0.608
Sour Cream & Onion Fresco,Snacks & Savory,0.665,0.684,0.626
Salted Oman Chips,Snacks & Savory,0.643,0.628,0.639
Salted Doritos,Snacks & Savory,0.576,0.581,0.532
Salted Lays,Snacks & Savory,0.454,0.461,0.423
Ketchup Al Baker,Snacks & Savory,0.372,0.354,0.368
Salt & Vinegar Fresco,Snacks & Savory,0.770,0.773,0.730
Hot & Fire Unicorn,Snacks & Savory,0.164,0.164,0.157
Chili Doritos,Snacks & Savory,0.762,0.772,0.694
Butter Doritos,Snacks & Savory,0.782,0.805,0.708
